Month,Views
0,1
1,15
2,89
3,100
4,81
5,76
6,44
7,30
8,20
9,15
10,11
11,9
12,7
13,6
14,5
15,5
16,5
17,5
18,5
19,4
20,3
21,3
22,3
23,4
24,4
25,3
26,2
27,2
28,3
29,4
30,3
31,3
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
